compound,mass
C00001,18.0106
C00002,506.9957
C00003,664.1169
C00004,665.1248
C00005,745.0911
C00006,744.0833
C00007,31.9898
C00008,427.0294
C00009,97.9769
C00010,767.1152
C00011,43.9898
C00013,177.9432
C00014,17.0265
C00015,404.0022
C00016,785.1571
C00018,247.0246
C00019,398.1372
C00020,347.0631
C00021,384.1216
C00022,88.016
C00024,809.1258
C00025,147.0532
C00026,146.0215
C00027,34.0055
C00029,566.055
C00031,180.0634
C00032,616.1773
C00033,60.0211
C00035,443.0243
C00036,132.0059
C00037,75.032
C00041,89.0477
C00042,118.0266
C00043,607.0816
C00044,522.9907
C00047,146.1055
C00048,74.0004
C00049,133.0375
C00051,307.0838
C00052,566.055
C00053,506.9862
C00054,427.0294
C00055,323.0519
C00058,46.0055
C00059,97.9674
C00061,456.1046
C00062,174.1117
C00063,482.9845
C00064,146.0691
C00065,105.0426
C00067,30.0106
C00068,425.045
C00072,176.0321
C00073,149.05100000000002
C00074,167.9824
C00075,483.9685
C00077,132.0899
C00078,204.0899
C00079,165.079
C00080,1.0078
C00081,507.9798
C00082,181.0739
C00083,853.1156
C00084,44.0262
C00085,260.0297
C00086,60.0324
C00087,31.9721
C00089,342.1162
C00091,867.1313
C00092,260.0297
C00093,172.0137
C00094,81.9725
C00095,180.0634
C00096,605.0772
C00097,121.0197
C00099,89.0477
C00100,823.1414
C00101,445.171
C00103,260.0297
C00104,428.0134
C00105,324.0359
C00106,112.0273
C00108,137.0477
C00109,102.0317
C00111,169.998
C00112,403.0182
C00114,104.1075
C00116,92.0473
C00117,230.0192
C00118,169.998
C00119,389.9518
C00120,244.0882
C00121,150.0528
C00122,116.01100000000001
C00123,131.0946
C00124,180.0634
C00127,612.1519999999999
C00128,614.1473
C00129,246.0058
C00130,348.0471
C00131,491.0008
C00134,88.1
C00135,155.0695
C00136,837.1571
C00137,180.0634
C00140,221.0899
C00141,116.0473
C00143,457.171
C00144,363.05800000000005
C00147,135.0545
C00148,115.0633
C00149,134.0215
C00152,132.0535
C00153,122.04799999999999
C00154,1005.3449
C00155,135.0354
C00158,192.02700000000002
C00159,180.0634
C00160,76.016
C00163,74.0368
C00164,102.0317
C00166,164.0473
C00167,580.0343
C00168,104.01100000000001
C00169,140.9827
C00170,297.0896
C00177,26.0031
C00178,126.0429
C00179,130.1218
C00181,150.0528
C00183,117.079
C00184,90.0317
C00185,342.1162
C00186,90.0317
C00187,386.3549
C00188,119.0582
C00189,61.0528
C00190,536.0445
C00191,194.0427
C00194,1578.6583
C00197,185.9929
C00198,178.0477
C00199,230.0192
C00206,411.0345
C00208,342.1162
C00212,267.0968
C00213,89.0477
C00214,242.0903
C00217,147.0532
C00218,31.0422
C00219,304.2402
C00221,180.0634
C00222,88.016
C00224,427.0199
C00227,139.9875
C00231,230.0192
C00232,102.0317
C00233,130.063
C00234,473.1659
C00235,246.0058
C00236,265.9593
C00237,27.9949
C00239,307.0569
C00242,151.0494
C00243,342.1162
C00245,125.0147
C00246,88.0524
C00249,256.2402
C00250,167.0582
C00252,342.1162
C00253,123.03200000000001
C00255,376.1383
C00256,90.0317
C00257,196.0583
C00258,106.0266
C00259,150.0528
C00262,136.0385
C00265,154.0122
C00267,180.0634
C00268,239.1018
C00270,309.106
C00272,241.1175
C00275,260.0297
C00279,200.0086
C00280,286.1933
C00283,33.9877
C00286,506.9957
C00288,60.9926
C00294,268.0808
C00295,156.0171
C00299,244.0695
C00300,131.0695
C00301,559.0717
C00302,147.0532
C00307,488.1073
C00310,150.0528
C00311,192.02700000000002
C00312,150.0528
C00314,169.0739
C00315,145.1579
C00318,161.1052
C00319,299.2824
C00320,112.9367
C00322,160.0372
C00325,589.0822
C00327,175.0957
C00328,208.0848
C00329,179.0794
C00330,267.0968
C00331,203.0582
C00332,851.1363
C00334,103.0633
C00337,158.0328
C00341,314.0684
C00345,276.0246
C00346,141.0191
C00349,102.0317
C00352,259.0457
C00353,450.1936
C00355,197.0688
C00356,911.1575
C00357,301.0563
C00360,331.0682
C00361,427.0294
C00362,347.0631
C00363,402.0229
C00364,322.0566
C00365,308.041
C00366,168.0283
C00370,248.21400000000003
C00376,284.214
C00378,265.1123
C00379,152.0685
C00385,152.0334
C00386,226.1066
C00387,283.0917
C00388,111.0796
C00398,160.1
C00402,133.0375
C00407,131.0946
C00408,129.079
C00410,314.2246
C00415,443.1553
C00417,174.0164
C00418,148.0736
C00427,352.225
C00429,114.0429
C00430,131.0582
C00433,130.0266
C00437,174.1004
C00438,176.0433
C00439,174.0641
C00440,459.1866
C00445,456.1632
C00446,260.0297
C00448,382.131
C00449,276.1321
C00450,127.0633
C00455,334.0566
C00458,466.9896
C00459,481.9893
C00460,467.9736
C00468,270.16200000000003
C00469,46.0419
C00472,108.0211
C00473,286.2297
C00475,243.0855
C00483,137.0841
C00486,584.2635
C00487,162.113
C00491,240.0238
C00492,504.16900000000004
C00499,176.0546
C00500,582.2478
C00504,441.1397
C00506,169.0045
C00513,477.055
C00515,132.0899
C00517,240.2453
C00519,109.0197
C00523,290.2246
C00526,228.0746
C00527,881.1469
C00530,110.0368
C00532,152.0685
C00533,29.998
C00534,168.0899
C00535,288.2089
C00536,257.9096
C00543,45.0578
C00544,168.0423
C00546,72.0211
C00547,169.0739
C00555,87.0684
C00559,251.1018
C00570,446.0604
C00575,329.0525
C00576,102.0919
C00577,90.0317
C00581,117.0538
C00582,885.1571
C00584,352.225
C00588,184.0739
