,dataSrc,mz,nmass,hmdb.KEGG.ID,hmdb.Score,metlin.KEGG.ID,metlin.Score,neighbor.cpds,top.score,BioCAn.ID
0,HilPos,53.0142,52.00688643,,,,,,0.0,
1,HilPos,56.0528,55.0455371,,,,,,0.0,
2,HilPos,58.0682,57.0609266,,,,,,0.0,
3,HilPos,60.0473,59.03999597,,,,,,0.0,
4,HilPos,60.0835,59.07625798,,,,,,0.0,
5,HilPos,61.0136,60.00632202,,,,,,0.0,C05951
6,HilPos,62.9843,61.97699125,,,,,,0.0,
7,HilPos,68.0492,67.04191646,,,,,C19907,0.0,
8,HilPos,69.0719,68.06467097,,,,,,0.0,
9,HilPos,70.0309,69.02359846,,,,,,0.0,
10,HilPos,70.031,69.02367678,,,,,,0.0,
11,HilPos,70.0674,69.0600959,,,,,,0.0,
12,HilPos,72.083,71.07569713,,,,,,0.0,
13,HilPos,74.0618,73.05450674,,,,,,0.0,
14,HilPos,74.0623,73.05498403,,,,,,0.0,
15,HilPos,79.055,78.04774372,,,,,C01407,0.0,
16,HilPos,80.0511,79.04382785,,,,,,0.0,
17,HilPos,81.0463,80.03903815,C00396,0.31,,,,0.0,
18,HilPos,82.9991,81.9917907,,,,,,0.0,
19,HilPos,83.0619,82.05464232,,,,,,0.0,
20,HilPos,84.0821,83.0748375,,,,,,0.0,
21,HilPos,86.0979,85.09064186,,,,,,0.0,
22,HilPos,87.0696,86.06234287,,,,,,0.0,
23,HilPos,88.0406,87.03329553,,,,,C02218;C06695;C20253;C20904,4.344827586,C02218
24,HilPos,88.1066,87.09930292,,,,,,0.0,
25,HilPos,90.0561,89.04882576,C00041;C00213;C00133;C00099,0.41;0.38;0.35;0.37,,,C00041;C00133;C00099;C00213;C01401;C01537;C02116;C11488,7.517241379,C00041
26,HilPos,91.0552,90.04792548,,,,,,0.0,
27,HilPos,95.0613,94.05402816,,,,,C13728,0.0,
28,HilPos,100.0765,99.06926744,,,,,C18796;C11118,0.137931034,C18796
29,HilPos,100.1111,99.10381206,,,,,C00571,0.0,
30,HilPos,102.0557,101.0484713,,,C01234,43,C17234;C01234;C02926;C07509;C08267;C11106;C19456;C19777;C20905,3.724137931,C17234
31,HilPos,104.1079,103.1006119,,,C00114,21,,0.0,
32,HilPos,104.9928,103.9855238,,,,,,0.0,
33,HilPos,105.1108,104.1035485,,,,,,0.0,
34,HilPos,106.0498,105.0425257,C00740;C00065,0.48;0.44,C00740;C00065,59;49,C00065;C00740;C00716,10.06896552,C00065
35,HilPos,107.0497,106.0424495,C00193,0.4,,,C00193;C00261,0.0,
36,HilPos,111.0082,110.0009593,,,,,,0.0,
37,HilPos,112.051,111.0436824,C00380,0.41,C00380,62,C00380,0.0,
38,HilPos,112.051,111.0437368,C00380,0.41,C00380,54,C00380,0.0,
39,HilPos,113.0714,112.0641305,,,,,,0.0,
40,HilPos,114.0917,113.0843878,,,,,C06593,0.0,
41,HilPos,118.0657,117.0584636,C00463,0.33,C00463,88,C00463;C16074,0.0,
42,HilPos,118.0864,117.0791306,C00183;C00719;C00431,0.44;0.34;0.31,C00719;C00183;C00431,52;41;21,C00183;C00719;C00431;C01799;C01826;C03571;C06417;C07457;C15987;C16436,0.896551724,C00183
43,HilPos,120.0514,119.0440825,,,,,,0.0,
44,HilPos,123.0443,122.0370274,C00180,0.45,,,C00180;C00539;C00633;C03067;C06202;C15474,0.0,
45,HilPos,123.0558,122.0484769,C00153,0.29,C00153,98,C00153;C01950;C02421,0.0,
46,HilPos,124.0246,123.0173332,,,,,,0.0,
47,HilPos,125.026,124.018678,,,,,C19239,0.0,
48,HilPos,126.0224,125.0151277,C00245,0.52,,,C00245,0.413793103,C00245
49,HilPos,130.0503,129.043053,KEGG;C02237;C01879,0.43;0.36;0.35,C02237,53,C01879;C04281;C01877;C02237;C04282,3.310344828,C01879
50,HilPos,130.0651,129.0578035,,,,,C06323;C06413,0.0,
51,HilPos,130.0865,129.0791966,C00408,0.31,C00408;C03969;C07500,44;33;14,C00408;C05936;C03969;C07500;C13696,0.75862069,C00408
52,HilPos,131.0906,130.083372,,,,,,0.0,
53,HilPos,132.1022,131.0949318,C00407;C01933;C00123;KEGG,0.53;0.52;0.51;0.48,C00407;C00123;C01933;C02378;C02486,48;44;22;22;17,C00407;C00123;C01570;C01933;C02378;C02486;C06418;C08263;C16434;C16439;C16647;C21092;C21096,1.0,C00407
54,HilPos,133.0319,132.0245774,,,,,C11074,0.0,
55,HilPos,133.061,132.0537146,C00152;C02642,0.53;0.53,C00152;C02642,55;20,C00152;C02642;C01043;C01905;C02037;C16438;C19258;C19301,2.724137931,C00152
56,HilPos,133.8563,132.8490324,,,,,,0.0,
57,HilPos,134.0193,133.0119861,,,,,,0.0,
58,HilPos,134.0451,133.0377885,C00049;C00402,0.51;0.14,C00049;C00402,57;35,C00049;C00402;C16433;C19911,6.655172414,C00049
59,HilPos,135.0032,133.9958777,,,,,,0.0,
60,HilPos,135.0251,134.0178601,,,,,,0.0,
61,HilPos,135.0476,134.0403565,,,,,C04022,0.0,
62,HilPos,135.0637,134.0564195,,,C01801,13,C01801;C02783;C04039;C04272;C06257;C08347,0.137931034,C01801
63,HilPos,136.0757,135.068421,,,,,C02505;C07565;C15561;C16075;C19714,0.0,
64,HilPos,137.066,136.0587258,,,,,,0.0,
65,HilPos,138.0197,137.0123997,,,,,,0.0,
66,HilPos,138.055,137.0477223,C01004;KEGG;C00568;KEGG,0.45;0.45;0.41;0.21,C00108;C01004,33;32,C00108;C00568;C01004;C14394;C15533;C19486;C19597,0.724137931,C00108
67,HilPos,139.0027,137.9954471,,,,,,0.0,
68,HilPos,139.0978,138.0904835,,,C13692,35,C13692;C20267,0.0,
69,HilPos,140.0819,139.0746075,,,C01279,45,C01279;C01929,0.0,
70,HilPos,141.9854,140.9781054,,,,,,0.0,
71,HilPos,142.0687,141.0613939,,,,,,0.0,
72,HilPos,143.0189,142.0116674,,,,,,0.0,
73,HilPos,143.0816,142.0743268,,,C06231,22,C06231,0.0,
74,HilPos,144.0511,143.0438532,,,,,C13738,0.0,
75,HilPos,144.0806,143.0733382,,,,,C02227;C14790,0.0,
76,HilPos,144.9274,143.9201019,,,,,,0.0,
77,HilPos,145.0514,144.0441225,KEGG,0.41,,,C00922;C01757;C02295;C02930;C19821;C19822;C19826,0.0,
78,HilPos,145.1083,144.1009879,,,,,C03078,0.0,
79,HilPos,146.0598,145.0525575,,,C19434,29,C02796;C06324;C06338;C06343;C06415;C08493;C19434,0.0,
80,HilPos,146.06,145.052717,,,C19434,26,C02796;C06324;C06338;C06343;C06415;C08493;C19434,0.0,
81,HilPos,146.1175,145.1101927,,,,,,0.0,
82,HilPos,147.0445,146.0372687,KEGG;C05851,0.32;N/A,,,C05851,0.0,
83,HilPos,148.0425,147.0352065,,,,,C03901,0.275862069,C03901
84,HilPos,148.0607,147.0534385,C00025;C12269,0.43;0.41,C00025;C12269,58;7,C00025;C00302;C05938;C00217;C00979;C03618;C03790;C05574;C05941;C12269,6.75862069,C00025
85,HilPos,148.1154,147.1081525,,,,,,0.0,
86,HilPos,148.1332,147.1258917,,,,,,0.0,
87,HilPos,148.1333,147.1260334,,,,,,0.0,
88,HilPos,149.1178,148.1105141,,,,,,0.0,
89,HilPos,150.0586,149.051293,C00073,0.52,C00073,65,C00073;C00855;C01733;C07418,4.068965517,C00073
90,HilPos,151.9912,150.9839434,,,,,,0.0,
91,HilPos,152.0703,151.0630694,KEGG;KEGG,0.39;0.02,C06804;C03005,72;17,C02709;C03005;C03522;C04350;C04353;C06804;C07301;C16571;C17755;C17756;C18623;C20634,0.0,
92,HilPos,156.0768,155.0695711,C00135,0.38,C00135,63,C00135;C00768;C01162;C06419,0.896551724,C00135
93,HilPos,157.0132,156.0059,KEGG,0.34,,,C20450,0.0,
94,HilPos,157.076,156.068702,,,,,C02938,0.0,
95,HilPos,157.0984,156.0911169,,,,,,0.0,
96,HilPos,158.0601,157.0528104,,,,,C14788,0.0,
97,HilPos,158.0925,157.085241,,,,,,0.0,
98,HilPos,158.0927,157.085454,,,,,,0.0,
99,HilPos,159.0776,158.0703681,,,C14089,33,C01109;C16432,0.0,
100,HilPos,159.9983,158.9909964,,,,,,0.0,
101,HilPos,160.0347,159.027464,,,,,,0.0,
102,HilPos,160.0798,159.072498,,,,,,0.0,
103,HilPos,160.9013,159.8939905,,,,,,0.0,
104,HilPos,162.0566,161.0493554,C19837,0.26,,,C05637;C05639;C06330;C06342;C11503;C16716;C16759;C19837;C20204,0.0,
105,HilPos,163.034,162.0267616,,,,,C18457,0.0,
106,HilPos,163.0979,162.0906645,,,,,C08234;C08237,0.0,
107,HilPos,165.0525,164.0452215,C00166,0.29,C00811,82,C00166;C02763;C05838;C00811;C01772;C06738;C07114;C10945;C12621,1.75862069,C00166
108,HilPos,165.1124,164.105146,,,,,,0.0,
109,HilPos,165.1136,164.1062754,,,,,,0.0,
110,HilPos,166.0723,165.0650167,C02242;C04152,0.22;0.14,C02242,63,C02230;C02242,0.0,
111,HilPos,166.0864,165.0791536,C00079;C07527,0.35;0.32,C00079,76,C00079;C02057;C02265;C07527;C18090;C18747;C19565;C19578;C20487;C20488,1.827586207,C00079
112,HilPos,167.0928,166.0855425,,,,,C19872,0.0,
113,HilPos,169.0945,168.0872136,C00534,0.51,C00534,17,,0.0,
114,HilPos,169.0971,168.0898501,C00534,0.51,C00534,59,C00534;C11846;C13710,3.482758621,C00534
115,HilPos,170.0617,169.0544545,,,,,,0.0,
116,HilPos,170.0811,169.073807,KEGG;C00314,0.51;0.51,C00314;C00547,70;28,C00314;C00547,3.655172414,C00314
117,HilPos,170.0967,169.0894298,,,,,C10998;C11016;C19319,0.0,
118,HilPos,171.0683,170.0610664,C05576,0.55,,,C17931,0.0,
119,HilPos,172.0989,171.0915742,,,C11837,84,C10284;C11837,0.0,
120,HilPos,173.0836,172.0763355,KEGG,0.22,,,,0.0,
121,HilPos,173.128,172.1206778,,,,,,0.0,
122,HilPos,174.0507,173.0434444,,,,,C19194,0.0,
123,HilPos,174.1489,173.1415816,,,,,,0.0,
