pathway,compounds
cge00010,C00036 C15973 C00111 C00103 C00022 C00118 C00074 C15972 C16255 C05378 C05345 C00033 C00084 C00631 C00221 C05125 C01159 C00267 C00469 C00668 C00186 C00197 C01172 C00236
cge00020,C00036 C00158 C00122 C15603 C15973 C00074 C15602 C00149 C16255 C16254 C05379 C05125 C00417 C15972 C00042 C00311 C00022 C00091 C05381
cge00030,C00121 C00117 C00111 C00345 C01801 C00119 C00118 C00620 C05378 C05345 C00257 C00084 C00279 C01236 C01172 C00672 C00673 C00199 C00198 C00668 C00231 C05382
cge00040,C00069 C00103 C00029 C00379 C00800 C00433 C03033 C02266 C00532 C00259 C00312 C00618 C00310 C00199 C00231 C01335 C00191 C00181
cge00051,C00159 C00111 C00118 C00325 C00794 C03827 C05378 C01019 C00577 C00636 C01222 C00275 C00267 C00095 C05345 C02985 C00665 C01094 C01720 C00096
cge00052,C00159 C01697 C00124 C00103 C00031 C00137 C00029 C00116 C05400 C05401 C05402 C05404 C00446 C00243 C01235 C00267 C00089 C00492 C00984 C00794 C00052 C00668 C01097 C05399 C03785 C00095 C01613
cge00053,C00818 C00137 C00191 C00029 C00072 C02670 C00800 C01040 C03289
cge00061,C05757 C05758 C00083 C03939 C05764 C04633 C05761 C05760 C05763 C05748 C05747 C05746 C05745 C05744 C04618 C04619 C01209 C02679 C06423 C00154 C06424 C04688 C16219 C04246 C01571 C05750 C05751 C05752 C05753 C05754 C05755 C05756 C00249 C05759 C05223 C00229 C04620 C05762 C05749
cge00062,C01944 C00638 C05273 C05272 C05259 C05258 C05271 C05270 C05276 C05275 C05274 C00640 C02593 C01832 C00136 C00154 C20877 C05268 C05269 C05264 C05265 C05266 C05267 C05260 C05261 C05262 C05263 C20876 C03221 C00083 C00249 C20878 C20879 C00264 C02843 C00040 C00658
cge00071,C00340 C01944 C02990 C05273 C05279 C05272 C05259 C05258 C05271 C05270 C05276 C05275 C05274 C00435 C01144 C03547 C00318 C02593 C00162 C01832 C00136 C00071 C00154 C05268 C00877 C05264 C05265 C05266 C05267 C05260 C05261 C05262 C05263 C03161 C00226 C03221 C00249 C00527 C00332 C05280 C03024 C05269
cge00072,C00164 C00042 C00332 C00091 C01089 C00356
cge00100,C01802 C01943 C15783 C11522 C05443 C01164 C21106 C11508 C01561 C08821 C01789 C05103 C01673 C05109 C05108 C01753 C01189 C00040 C15808 C01054 C15782 C02530 C15780 C15781 C15915 C15816 C05107 C05439 C01724 C05437 C03428 C03845 C00751 C18231 C07712 C11455 C00448 C00996 C15777 C15776 C00162 C00187 C15778 C00999
